               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  69,            0.034238,            0.012152,            0.012579,             0.78398,             0.75231,             0.75765,             0.31529,            0.042164,           0.0083872,            0.033242,            0.006634,            0.006634,            0.006634
                  70,            0.034137,            0.011356,            0.011277,             0.88763,             0.82967,             0.86201,             0.51708,            0.030285,            0.007959,            0.034748,           0.0065845,           0.0065845,           0.0065845
                  71,            0.034719,            0.011795,            0.012701,             0.88278,             0.79872,             0.86247,             0.48862,            0.026724,           0.0081482,            0.036552,            0.006535,            0.006535,            0.006535
                  72,            0.033078,            0.011408,            0.011905,             0.88473,             0.83254,             0.86131,             0.55581,            0.024704,           0.0080581,            0.038568,           0.0064855,           0.0064855,           0.0064855
                  73,            0.033244,            0.011015,            0.012242,              0.8519,             0.83485,             0.85306,             0.53219,            0.028885,           0.0082176,            0.038764,            0.006436,            0.006436,            0.006436
                  74,            0.032271,            0.011671,            0.010799,             0.88732,             0.83013,             0.85877,             0.52416,            0.025494,           0.0081414,            0.040589,           0.0063865,           0.0063865,           0.0063865
                  75,            0.032739,            0.011742,            0.011573,             0.87727,              0.8351,             0.85804,             0.54399,            0.026734,           0.0081463,            0.042623,            0.006337,            0.006337,            0.006337
                  76,            0.034627,            0.011361,            0.012333,             0.88078,             0.83972,              0.8651,             0.52882,            0.024873,           0.0085603,             0.03667,           0.0062875,           0.0062875,           0.0062875
                  77,            0.033617,            0.011181,            0.010199,              0.8999,             0.82982,             0.86351,             0.55158,            0.029196,           0.0084418,             0.03346,            0.006238,            0.006238,            0.006238
                  78,            0.034042,            0.011985,            0.011186,              0.8884,             0.83163,             0.86397,             0.54741,            0.028309,           0.0079779,            0.038853,           0.0061885,           0.0061885,           0.0061885
                  79,            0.033613,            0.011336,            0.011622,             0.88239,             0.83431,             0.85524,             0.49239,            0.028532,           0.0086075,            0.040859,            0.006139,            0.006139,            0.006139
                  80,            0.032601,            0.011316,            0.010293,             0.88312,              0.8151,             0.85794,             0.49682,            0.026641,           0.0082384,             0.03863,           0.0060895,           0.0060895,           0.0060895
                  81,            0.031813,            0.011214,            0.010019,              0.8693,             0.81732,              0.8585,               0.567,            0.022907,           0.0083799,             0.04043,             0.00604,             0.00604,             0.00604
                  82,            0.032253,            0.010901,            0.010225,             0.84625,             0.82002,             0.85157,             0.53622,            0.023784,           0.0079295,            0.039741,           0.0059905,           0.0059905,           0.0059905
                  83,            0.033478,            0.010844,            0.010292,             0.87444,             0.82293,              0.8621,             0.54865,            0.023407,           0.0082348,            0.039037,            0.005941,            0.005941,            0.005941
                  84,            0.033422,            0.010705,            0.010282,             0.84563,             0.81366,             0.85913,             0.57175,            0.026233,           0.0081591,            0.036091,           0.0058915,           0.0058915,           0.0058915
                  85,            0.031478,            0.011003,            0.010031,             0.88924,             0.82466,             0.86269,             0.57603,            0.025214,           0.0078243,            0.038968,            0.005842,            0.005842,            0.005842
                  86,            0.031795,            0.011253,           0.0098207,             0.89044,             0.83502,             0.86087,             0.56776,            0.024104,           0.0076409,             0.04124,           0.0057925,           0.0057925,           0.0057925
                  87,            0.032412,            0.011015,           0.0089583,             0.87943,             0.83408,             0.87195,             0.48191,            0.028598,           0.0080864,            0.037598,            0.005743,            0.005743,            0.005743
                  88,            0.030796,            0.010678,           0.0087999,             0.88739,             0.84091,             0.86023,             0.55689,            0.025676,           0.0076408,            0.039152,           0.0056935,           0.0056935,           0.0056935
                  89,            0.032308,             0.01118,           0.0087733,             0.86112,             0.83008,             0.87042,             0.54853,            0.025963,           0.0076198,            0.038506,            0.005644,            0.005644,            0.005644
                  90,            0.031697,            0.010743,            0.009648,             0.86897,             0.80441,             0.85189,             0.44383,            0.030166,           0.0083262,            0.043342,           0.0055945,           0.0055945,           0.0055945
                  91,            0.030473,            0.010648,           0.0088193,             0.88827,             0.83575,             0.86401,             0.57993,            0.022203,           0.0078723,            0.039552,            0.005545,            0.005545,            0.005545
                  92,            0.031735,            0.010486,            0.010733,             0.88921,             0.83742,             0.85511,             0.57977,            0.022969,           0.0077605,            0.043203,           0.0054955,           0.0054955,           0.0054955
                  93,            0.030024,            0.010986,           0.0087741,               0.852,             0.83333,              0.8547,             0.54013,            0.025215,           0.0085914,            0.042464,            0.005446,            0.005446,            0.005446
                  94,            0.030415,            0.011048,           0.0090259,             0.88072,             0.83969,             0.86433,             0.59453,            0.021764,           0.0075475,            0.039758,           0.0053965,           0.0053965,           0.0053965
                  95,            0.030425,            0.010115,           0.0080523,             0.89131,             0.81143,             0.85477,              0.5551,            0.023401,           0.0076239,            0.041487,            0.005347,            0.005347,            0.005347
                  96,            0.030626,            0.010534,           0.0077765,              0.8827,              0.8053,             0.85338,             0.56329,            0.022027,           0.0077454,            0.041856,           0.0052975,           0.0052975,           0.0052975
                  97,            0.030056,            0.010701,           0.0085862,             0.89539,             0.82154,             0.86456,             0.59534,            0.021862,           0.0074423,            0.038712,            0.005248,            0.005248,            0.005248
                  98,            0.030275,            0.011029,           0.0079165,             0.89005,             0.80598,              0.8687,             0.56825,            0.023822,           0.0074604,            0.038346,           0.0051985,           0.0051985,           0.0051985
                  99,            0.029812,            0.010384,           0.0075488,             0.89207,             0.83622,              0.8706,              0.6196,            0.020516,           0.0071175,            0.041711,            0.005149,            0.005149,            0.005149
                 100,            0.029493,            0.010571,           0.0082617,             0.89382,             0.83595,             0.86737,             0.61597,            0.022483,             0.00726,            0.040268,           0.0050995,           0.0050995,           0.0050995
                 101,            0.028585,            0.010502,           0.0074559,             0.90163,             0.84091,             0.86282,             0.54164,            0.022953,            0.007687,             0.04243,             0.00505,             0.00505,             0.00505
                 102,            0.028677,           0.0098971,           0.0075635,             0.85046,             0.84091,             0.85811,             0.58936,            0.022771,           0.0074072,            0.045305,           0.0050005,           0.0050005,           0.0050005
                 103,            0.028748,            0.010196,           0.0079976,             0.89191,             0.84091,              0.8667,             0.60916,             0.02103,           0.0076691,            0.041946,            0.004951,            0.004951,            0.004951
                 104,            0.028736,            0.010313,           0.0084948,             0.88214,             0.83716,             0.87055,             0.59535,            0.022255,           0.0074936,            0.042448,           0.0049015,           0.0049015,           0.0049015
                 105,            0.029989,            0.010011,           0.0074766,              0.8922,             0.83492,             0.87911,             0.60207,            0.021488,           0.0074954,            0.040592,            0.004852,            0.004852,            0.004852
                 106,             0.03003,            0.010711,           0.0083626,             0.89152,             0.83637,             0.87211,              0.6176,            0.021724,           0.0072523,            0.040068,           0.0048025,           0.0048025,           0.0048025
                 107,            0.030195,            0.010327,           0.0074926,             0.89624,             0.83221,             0.86209,             0.58932,            0.024703,             0.00722,            0.041531,            0.004753,            0.004753,            0.004753
                 108,            0.028194,           0.0095913,           0.0062115,             0.89578,             0.83635,             0.86658,             0.55852,            0.026048,           0.0071332,            0.042948,           0.0047035,           0.0047035,           0.0047035
                 109,            0.029497,            0.010638,           0.0075018,             0.89395,             0.83996,             0.86726,             0.57723,            0.024251,           0.0072424,            0.043316,            0.004654,            0.004654,            0.004654
                 110,            0.028167,           0.0098617,           0.0066931,             0.90041,             0.83861,             0.86087,             0.60587,            0.021748,           0.0071917,            0.046513,           0.0046045,           0.0046045,           0.0046045
                 111,            0.028079,            0.010424,           0.0091294,             0.90273,             0.83918,             0.87435,             0.62826,            0.020181,           0.0073524,            0.038473,            0.004555,            0.004555,            0.004555
                 112,            0.028155,            0.010169,           0.0062426,             0.90215,             0.84091,             0.86977,              0.6159,            0.022319,           0.0070603,            0.040061,           0.0045055,           0.0045055,           0.0045055
                 113,            0.029056,            0.010217,           0.0077909,              0.9034,             0.84091,             0.86997,             0.58445,            0.022754,           0.0071454,            0.041557,            0.004456,            0.004456,            0.004456
                 114,            0.028153,            0.010502,           0.0071563,             0.90107,             0.84079,             0.86942,             0.60955,            0.022097,           0.0072669,            0.040577,           0.0044065,           0.0044065,           0.0044065
                 115,            0.028381,            0.010781,           0.0071654,             0.90034,             0.83641,             0.87163,             0.58987,            0.022779,           0.0072799,            0.043544,            0.004357,            0.004357,            0.004357
                 116,            0.027818,           0.0097121,           0.0072805,             0.89282,             0.83416,             0.86821,             0.60807,              0.0215,           0.0072206,             0.04488,           0.0043075,           0.0043075,           0.0043075
                 117,            0.028584,            0.010435,           0.0071992,             0.89313,             0.83858,              0.8606,             0.59592,            0.021025,           0.0071369,            0.045224,            0.004258,            0.004258,            0.004258
                 118,            0.027517,            0.009998,           0.0066508,             0.87954,             0.83485,             0.86026,             0.59064,            0.021009,           0.0072579,            0.044546,           0.0042085,           0.0042085,           0.0042085
                 119,            0.027317,            0.010195,           0.0065276,             0.90125,             0.84091,             0.86273,             0.62276,             0.02046,           0.0072628,            0.043135,            0.004159,            0.004159,            0.004159
                 120,            0.027783,            0.010142,            0.007407,             0.89795,             0.84024,             0.85923,             0.55725,            0.022067,           0.0075227,            0.045858,           0.0041095,           0.0041095,           0.0041095
                 121,            0.027482,           0.0098494,           0.0065787,             0.89518,             0.83873,              0.8714,             0.60971,            0.021743,           0.0072159,            0.042947,             0.00406,             0.00406,             0.00406
