               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.024735,           0.0076945,           0.0080665,             0.98934,             0.99607,               0.995,             0.81961,            0.015836,           0.0035214,            0.002552,           0.0073765,           0.0073765,           0.0073765
                  55,            0.025284,           0.0075937,            0.008175,             0.98333,             0.99676,               0.995,             0.77237,            0.015176,           0.0036132,           0.0024853,            0.007327,            0.007327,            0.007327
                  56,            0.025375,           0.0075385,           0.0081627,             0.97342,             0.99638,             0.99232,             0.81005,             0.01559,           0.0036439,           0.0026453,           0.0072775,           0.0072775,           0.0072775
                  57,            0.024909,           0.0073487,           0.0077874,              0.9825,             0.99161,             0.99411,             0.82688,            0.014759,           0.0036918,           0.0026869,            0.007228,            0.007228,            0.007228
                  58,            0.025207,           0.0076983,            0.008603,             0.98997,             0.99109,               0.995,             0.79889,            0.016167,           0.0037057,           0.0025852,           0.0071785,           0.0071785,           0.0071785
                  59,            0.024165,           0.0075359,           0.0082838,             0.97716,             0.97829,             0.99162,             0.82014,             0.01476,           0.0035686,           0.0030936,            0.007129,            0.007129,            0.007129
                  60,            0.023318,           0.0076466,            0.008581,             0.97717,             0.97451,              0.9901,             0.81077,            0.014078,           0.0036344,           0.0036184,           0.0070795,           0.0070795,           0.0070795
                  61,            0.023362,           0.0072204,           0.0077034,             0.97711,             0.98095,             0.99093,             0.78763,            0.017449,           0.0036459,           0.0027065,             0.00703,             0.00703,             0.00703
                  62,            0.024145,           0.0076367,           0.0078077,             0.98151,             0.98662,             0.99478,             0.82303,            0.013957,           0.0035265,           0.0026618,           0.0069805,           0.0069805,           0.0069805
                  63,            0.023734,           0.0074551,           0.0085537,             0.95976,             0.96621,             0.98553,             0.78439,            0.015532,           0.0034664,           0.0039384,            0.006931,            0.006931,            0.006931
                  64,            0.024411,           0.0073518,           0.0076245,             0.97508,             0.98622,             0.99334,             0.82317,            0.014712,           0.0033509,           0.0029541,           0.0068815,           0.0068815,           0.0068815
                  65,            0.023365,           0.0072163,            0.006628,              0.9802,             0.98536,             0.99142,             0.80984,            0.013203,           0.0034694,           0.0029056,            0.006832,            0.006832,            0.006832
                  66,            0.024206,           0.0072438,            0.010843,             0.97706,             0.98964,             0.99304,              0.8014,            0.014768,           0.0036278,           0.0026665,           0.0067825,           0.0067825,           0.0067825
                  67,            0.023913,           0.0072497,            0.007344,             0.98388,             0.99654,             0.99353,             0.82425,            0.014643,           0.0034595,           0.0021681,            0.006733,            0.006733,            0.006733
                  68,            0.023879,           0.0074118,           0.0074156,             0.97932,             0.99293,             0.98834,             0.82997,            0.013876,           0.0034772,            0.002494,           0.0066835,           0.0066835,           0.0066835
                  69,            0.023504,           0.0071703,            0.007719,             0.97504,              0.9781,             0.98201,             0.81346,            0.012871,           0.0033405,            0.004114,            0.006634,            0.006634,            0.006634
                  70,            0.022061,           0.0072289,            0.006851,             0.98014,             0.98917,             0.98863,             0.82111,            0.013248,           0.0034244,           0.0027586,           0.0065845,           0.0065845,           0.0065845
                  71,            0.021258,           0.0071391,           0.0069982,             0.97649,             0.98688,             0.99244,             0.82865,            0.013293,           0.0035594,           0.0027494,            0.006535,            0.006535,            0.006535
                  72,            0.022338,           0.0069865,           0.0064732,             0.97436,             0.96544,             0.98834,             0.82082,            0.012926,           0.0034126,           0.0031853,           0.0064855,           0.0064855,           0.0064855
                  73,            0.023073,           0.0068245,           0.0084938,             0.97972,             0.98715,             0.99426,             0.84248,            0.012421,           0.0032946,           0.0024431,            0.006436,            0.006436,            0.006436
                  74,            0.021812,           0.0071889,           0.0074316,             0.95516,             0.99397,               0.995,             0.81614,            0.013705,           0.0034345,           0.0021208,           0.0063865,           0.0063865,           0.0063865
                  75,            0.021239,           0.0068485,           0.0060474,             0.98787,              0.9977,               0.995,             0.83097,            0.012231,           0.0033192,           0.0020525,            0.006337,            0.006337,            0.006337
