               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,            0.026649,           0.0081266,           0.0087566,             0.91057,             0.94299,             0.95155,             0.72107,            0.025542,           0.0067359,           0.0060146,           0.0080992,           0.0080992,           0.0080992
                  50,              0.0265,           0.0078132,           0.0081427,             0.93333,             0.94819,             0.95014,             0.72183,            0.025709,            0.006754,            0.004168,           0.0080596,           0.0080596,           0.0080596
                  51,            0.026613,           0.0078321,            0.006502,             0.93084,             0.95439,             0.95219,             0.70079,            0.026057,           0.0067833,           0.0042973,             0.00802,             0.00802,             0.00802
                  52,            0.027453,           0.0081159,           0.0082046,             0.94195,             0.95362,             0.95063,             0.68726,            0.026616,           0.0066299,           0.0045134,           0.0079804,           0.0079804,           0.0079804
                  53,            0.026776,           0.0079739,           0.0080338,             0.93555,             0.94642,             0.94925,              0.7259,            0.024984,           0.0066691,           0.0050229,           0.0079408,           0.0079408,           0.0079408
                  54,            0.026513,           0.0077355,           0.0076956,             0.94541,             0.95167,             0.94987,             0.72112,            0.024945,           0.0067244,           0.0040759,           0.0079012,           0.0079012,           0.0079012
                  55,            0.026617,           0.0082303,           0.0078099,             0.94353,             0.94742,             0.95092,             0.71989,            0.025486,           0.0067026,           0.0039368,           0.0078616,           0.0078616,           0.0078616
                  56,            0.025922,           0.0079481,           0.0072475,             0.91476,             0.94088,             0.94814,             0.71258,            0.026173,           0.0068301,           0.0050112,            0.007822,            0.007822,            0.007822
                  57,            0.026725,           0.0083858,           0.0076806,             0.92585,             0.95448,             0.95149,              0.7337,            0.024995,           0.0064926,           0.0041484,           0.0077824,           0.0077824,           0.0077824
                  58,            0.026353,           0.0079927,           0.0074337,             0.94344,             0.95161,             0.95028,             0.72743,            0.024985,            0.006468,           0.0038508,           0.0077428,           0.0077428,           0.0077428
                  59,            0.025772,           0.0077215,            0.006642,             0.93824,             0.95065,             0.94898,             0.69393,            0.025278,           0.0065051,           0.0037818,           0.0077032,           0.0077032,           0.0077032
                  60,            0.024859,           0.0078857,           0.0064717,             0.92128,             0.95077,             0.94565,              0.7221,            0.025248,           0.0065561,           0.0039949,           0.0076636,           0.0076636,           0.0076636
                  61,            0.025438,            0.007834,           0.0061393,             0.94385,             0.95178,             0.95074,             0.72168,            0.023348,            0.006612,           0.0041171,            0.007624,            0.007624,            0.007624
                  62,            0.025605,            0.007976,           0.0060712,              0.9366,             0.93972,             0.94812,             0.69677,             0.02591,           0.0065066,            0.005099,           0.0075844,           0.0075844,           0.0075844
                  63,            0.024695,           0.0078711,           0.0075671,             0.94415,             0.94983,             0.95143,             0.73932,            0.022512,           0.0066267,           0.0034498,           0.0075448,           0.0075448,           0.0075448
                  64,            0.025079,           0.0074232,           0.0065457,             0.93563,             0.93417,             0.94925,             0.70845,            0.023745,           0.0066757,           0.0035228,           0.0075052,           0.0075052,           0.0075052
                  65,            0.024364,           0.0077174,           0.0066988,             0.92963,             0.94826,             0.95208,             0.72699,            0.023859,           0.0067323,           0.0039455,           0.0074656,           0.0074656,           0.0074656
                  66,            0.024721,           0.0075626,           0.0062687,             0.93651,             0.95371,             0.95158,             0.74856,            0.023179,           0.0062981,           0.0034245,            0.007426,            0.007426,            0.007426
                  67,            0.025182,             0.00751,           0.0066467,             0.94493,             0.95043,             0.94995,             0.72737,            0.025013,           0.0064642,           0.0033267,           0.0073864,           0.0073864,           0.0073864
                  68,            0.024411,           0.0071829,           0.0058881,             0.94521,             0.95259,             0.95097,               0.747,            0.023328,           0.0063357,           0.0039018,           0.0073468,           0.0073468,           0.0073468
                  69,            0.024245,            0.007386,           0.0055445,             0.94684,             0.95362,             0.95136,             0.73524,            0.022842,           0.0062299,           0.0032666,           0.0073072,           0.0073072,           0.0073072
                  70,            0.024321,           0.0075395,           0.0064057,             0.93612,              0.9497,             0.94943,             0.71719,            0.025836,            0.006231,           0.0045015,           0.0072676,           0.0072676,           0.0072676
                  71,            0.024332,           0.0074556,           0.0063375,             0.92349,             0.94456,             0.95093,             0.75673,            0.022646,           0.0060633,           0.0040678,            0.007228,            0.007228,            0.007228
